match_id,match_date,match_time,home_team,away_team,page_id,captured_at,胜平负_初始_主,胜平负_初始_平,胜平负_初始_客,胜平负_即时_主,胜平负_即时_平,胜平负_即时_客,欧赔_初始_主,欧赔_初始_平,欧赔_初始_客,欧赔_即时_主,欧赔_即时_平,欧赔_即时_客,亚值_初始_主水,亚值_初始_盘口值,亚值_初始_客水,亚值_即时_主水,亚值_即时_盘口值,亚值_即时_客水,凯利_初始_主,凯利_初始_平,凯利_初始_客,凯利_即时_主,凯利_即时_平,凯利_即时_客,离散率_初始_主,离散率_初始_平,离散率_初始_客,离散率_即时_主,离散率_即时_平,离散率_即时_客
2026-04-21_莱切_佛罗伦萨,2026-04-21,02:45,莱切,佛罗伦萨,1199672,2026-04-20 16:45:25,3.42,3.12,1.94,3.13,3.1,2.05,3.46,3.26,2.17,3.45,3.29,2.11,0.946,0.297,0.89,0.953,0.281,0.903,0.95,0.95,0.95,0.94,0.96,0.92,11.36,5.57,6.72,14.54,9.21,9.75
2026-04-25_帕尔马_比萨,2026-04-25,21:00,帕尔马,比萨,1199685,2026-04-20 16:45:25,2.0,3.1,3.7,2.05,3.25,3.6,2.04,3.22,3.77,2.04,3.23,3.72,1.012,-0.479,0.83,1.027,-0.479,0.826,0.94,0.94,0.94,0.94,0.94,0.93,2.74,5.61,10.36,3.0,7.03,13.28
2026-04-26_博洛尼亚_罗马,2026-04-26,00:00,博洛尼亚,罗马,1199679,2026-04-20 16:45:25,2.8,3.1,2.45,3.25,3.2,2.2,2.87,3.22,2.46,3.04,3.23,2.35,0.993,0.115,0.838,1.057,0.019,0.805,0.94,0.94,0.94,0.99,0.94,0.89,3.9,4.99,3.97,44.89,5.07,28.36
2026-04-26_维罗纳_莱切,2026-04-26,02:45,维罗纳,莱切,1199687,2026-04-20 16:45:25,2.25,3.0,3.25,2.4,2.88,3.25,2.31,3.05,3.3,2.27,3.03,3.37,0.953,-0.25,0.891,0.957,-0.229,0.875,0.94,0.94,0.94,0.92,0.93,0.96,6.14,7.93,9.66,18.59,11.91,21.44
2026-04-26_佛罗伦萨_萨索罗,2026-04-26,18:30,佛罗伦萨,萨索罗,1199681,2026-04-20 16:45:25,1.91,3.4,3.6,1.75,3.6,4.4,1.93,3.37,3.97,1.83,3.55,4.24,0.915,-0.615,0.895,0.932,-0.519,0.89,0.94,0.94,0.94,0.89,0.99,1.0,5.48,12.54,40.18,24.71,43.52,66.5
2026-04-26_热那亚_科莫,2026-04-26,21:00,热那亚,科莫,1199682,2026-04-20 16:45:25,4.0,3.5,1.8,5.0,3.4,1.7,4.43,3.6,1.78,4.51,3.5,1.79,0.913,0.654,0.939,0.878,0.692,0.975,0.94,0.94,0.94,0.96,0.91,0.94,18.34,11.33,3.35,100.79,7.83,16.78
2026-04-27_都灵_国际米兰,2026-04-27,00:00,都灵,国际米兰,1199686,2026-04-20 16:45:25,7.0,4.6,1.4,8.0,5.0,1.33,6.91,4.73,1.41,7.48,4.77,1.38,0.887,1.333,0.951,0.884,1.271,0.943,0.94,0.94,0.94,1.02,0.95,0.92,35.35,16.95,1.7,164.35,29.13,6.24
2026-04-27_AC米兰_尤文图斯,2026-04-27,02:45,AC米兰,尤文图斯,1199678,2026-04-20 16:45:25,2.63,3.0,2.63,2.8,3.3,2.4,2.69,3.18,2.64,2.62,3.29,2.61,0.912,0.042,0.943,0.948,0.894,,0.94,0.94,0.94,0.92,0.97,0.93,7.69,9.48,5.07,19.14,5.84,23.35
