match_id,match_date,match_time,home_team,away_team,page_id,captured_at,胜平负_初始_主,胜平负_初始_平,胜平负_初始_客,胜平负_即时_主,胜平负_即时_平,胜平负_即时_客,欧赔_初始_主,欧赔_初始_平,欧赔_初始_客,欧赔_即时_主,欧赔_即时_平,欧赔_即时_客,亚值_初始_主水,亚值_初始_盘口值,亚值_初始_客水,亚值_即时_主水,亚值_即时_盘口值,亚值_即时_客水,凯利_初始_主,凯利_初始_平,凯利_初始_客,凯利_即时_主,凯利_即时_平,凯利_即时_客,离散率_初始_主,离散率_初始_平,离散率_初始_客,离散率_即时_主,离散率_即时_平,离散率_即时_客
2026-04-25_莱比锡红牛_柏林联盟,2026-04-25,02:30,莱比锡红牛,柏林联盟,1206137,2026-04-20 16:45:25,1.36,4.8,7.5,1.36,4.8,7.5,1.36,5.07,7.73,1.37,5.03,7.37,0.931,-1.393,0.908,0.972,-1.464,0.862,0.94,0.94,0.94,0.95,0.93,0.9,2.62,18.97,60.96,4.01,22.04,29.62
2026-04-25_美因茨_拜仁,2026-04-25,21:30,美因茨,拜仁,1206133,2026-04-20 16:45:25,4.5,4.75,1.57,8.0,5.8,1.3,4.81,4.55,1.57,6.26,5.07,1.42,0.901,1.375,0.94,0.882,1.036,0.942,0.94,0.94,0.94,1.22,1.05,0.85,62.37,10.73,4.87,256.32,58.71,12.69
2026-04-25_科隆_勒沃库森,2026-04-25,21:30,科隆,勒沃库森,1206173,2026-04-20 16:45:25,3.9,3.9,1.75,3.75,3.9,1.8,3.87,3.97,1.8,3.83,3.99,1.8,0.895,0.654,0.939,0.875,0.673,0.946,0.94,0.94,0.94,0.93,0.94,0.94,18.71,12.61,3.15,17.43,12.25,3.88
2026-04-25_奥格斯堡_法兰克福,2026-04-25,21:30,奥格斯堡,法兰克福,1206130,2026-04-20 16:45:25,2.3,3.6,2.8,2.2,3.5,3.0,2.31,3.69,2.76,2.25,3.62,2.85,0.978,-0.25,0.873,1.053,-0.269,0.794,0.94,0.94,0.94,0.91,0.92,0.97,3.87,7.52,8.65,6.38,18.12,14.44
2026-04-25_沃尔夫斯堡_门兴,2026-04-25,21:30,沃尔夫斯堡,门兴,1205940,2026-04-20 16:45:25,2.3,3.4,2.8,2.5,3.5,2.5,2.31,3.6,2.82,2.44,3.58,2.64,0.876,0.982,,1.0,-0.25,0.825,0.94,0.94,0.94,0.99,0.93,0.88,8.37,8.21,12.47,18.15,18.2,18.02
2026-04-25_海登海姆_圣保利,2026-04-25,21:30,海登海姆,圣保利,1206166,2026-04-20 16:45:25,2.5,3.1,2.75,2.7,3.3,2.45,2.5,3.3,2.77,2.62,3.32,2.61,0.949,0.914,,0.862,-0.038,0.987,0.94,0.94,0.94,0.99,0.95,0.89,4.04,8.78,6.79,22.27,7.01,24.47
2026-04-26_汉堡_霍芬海姆,2026-04-26,00:30,汉堡,霍芬海姆,1206152,2026-04-20 16:45:25,3.6,3.8,1.85,3.3,3.5,2.05,3.74,3.96,1.84,3.36,3.74,1.99,0.959,0.385,0.898,0.872,0.654,0.952,0.94,0.94,0.94,0.85,0.89,1.02,19.8,13.34,4.29,25.83,17.79,22.22
2026-04-26_斯图加特_不莱梅,2026-04-26,21:30,斯图加特,不莱梅,1206139,2026-04-20 16:45:25,1.55,4.5,5.0,1.57,4.4,4.8,1.58,4.17,5.24,1.57,4.32,5.0,0.926,-1.0,0.921,0.891,-0.964,0.939,0.94,0.94,0.94,0.94,0.97,0.9,3.82,18.67,73.06,5.13,37.18,47.05
2026-04-26_多特蒙德_弗赖堡,2026-04-26,23:30,多特蒙德,弗赖堡,1206165,2026-04-20 16:45:25,1.44,4.5,6.0,1.57,4.0,5.0,1.42,4.78,6.6,1.5,4.42,5.62,0.98,-1.115,0.846,0.944,-1.288,0.877,0.94,0.94,0.94,1.0,0.87,0.8,2.56,13.21,37.6,15.19,26.05,69.82
