match_id,league_code,league_name,round_name,match_date,match_time,home_team,away_team,actual_score,actual_result,page_id,胜平负_初始_主,胜平负_初始_平,胜平负_初始_客,胜平负_最终_主,胜平负_最终_平,胜平负_最终_客,欧赔_初始_主,欧赔_初始_平,欧赔_初始_客,欧赔_最终_主,欧赔_最终_平,欧赔_最终_客,亚值_初始_主水,亚值_初始_盘口,亚值_初始_盘口值,亚值_初始_客水,亚值_最终_主水,亚值_最终_盘口,亚值_最终_盘口值,亚值_最终_客水,凯利_初始_主,凯利_初始_平,凯利_初始_客,凯利_最终_主,凯利_最终_平,凯利_最终_客,离散率_初始_主,离散率_初始_平,离散率_初始_客,离散率_最终_主,离散率_最终_平,离散率_最终_客
2026-04-18_萨索罗_科莫,serie_a,意甲,第33轮,2026-04-18,00:30,萨索罗,科莫,2:1,主胜,1199675,4.95,4.2,1.45,4.5,3.75,1.56,6.07,4.36,1.52,4.67,3.94,1.67,1.005,0.706,0.706,0.841,0.909,1.118,1.118,0.958,0.94,0.95,0.95,0.73,0.86,1.05,49.07,17.97,12.6,19.88,11.82,9.02
2026-04-18_国际米兰_卡利亚里,serie_a,意甲,第33轮,2026-04-18,02:45,国际米兰,卡利亚里,3:0,主胜,1199670,1.13,6.2,12.0,1.12,6.4,12.5,1.23,6.16,12.1,1.2,6.36,13.14,0.839,-1.765,-1.765,1.004,0.891,-1.706,-1.706,0.952,0.95,0.95,0.94,0.92,0.98,1.02,5.57,18.68,64.24,4.14,43.02,121.71
2026-04-18_乌迪内斯_帕尔马,serie_a,意甲,第33轮,2026-04-18,21:00,乌迪内斯,帕尔马,0:1,客胜,1199676,1.93,3.0,3.6,1.93,3.0,3.6,2.17,2.98,3.83,2.19,2.95,3.67,0.914,-0.294,-0.294,0.942,0.886,-0.294,-0.294,0.968,0.95,0.94,0.94,0.96,0.93,0.9,8.75,5.81,17.48,11.79,27.99,54.49
2026-04-19_那不勒斯_拉齐奥,serie_a,意甲,第33轮,2026-04-19,00:00,那不勒斯,拉齐奥,0:2,客胜,1199673,1.39,3.9,6.5,1.44,3.65,6.2,1.53,3.94,6.92,1.64,3.61,5.53,0.828,-0.735,-0.735,1.017,0.885,-0.956,-0.956,0.86,0.95,0.95,0.94,1.02,0.87,0.75,10.32,17.73,55.08,11.9,10.22,31.94
2026-04-19_罗马_亚特兰大,serie_a,意甲,第33轮,2026-04-19,02:45,罗马,亚特兰大,1:1,平局,1199668,2.27,3.0,2.82,2.2,3.05,2.88,2.42,3.33,2.93,2.16,3.31,3.31,0.942,-0.294,-0.294,0.906,0.932,-0.132,-0.132,0.939,0.95,0.95,0.95,0.85,0.94,1.07,10.12,10.71,12.23,8.56,10.27,24.63
2026-04-19_克雷莫内塞_都灵,serie_a,意甲,第33轮,2026-04-19,18:30,克雷莫内塞,都灵,0:0,平局,1199669,2.86,2.9,2.3,2.68,2.9,2.43,2.89,3.05,2.61,2.78,3.1,2.59,0.959,0.029,0.029,0.891,1.006,0.029,0.029,0.863,0.95,0.95,0.95,0.91,0.96,0.94,7.34,8.02,11.55,7.99,10.64,6.66
2026-04-19_维罗纳_AC米兰,serie_a,意甲,第33轮,2026-04-19,21:00,维罗纳,AC米兰,0:1,客胜,1199677,6.55,4.05,1.37,6.3,3.9,1.4,6.43,4.02,1.53,5.6,3.72,1.61,1.019,0.765,0.765,0.829,0.955,0.956,0.956,0.896,0.94,0.95,0.95,0.82,0.88,1.0,28.66,8.76,6.65,23.14,7.67,10.78
2026-04-20_比萨_热那亚,serie_a,意甲,第33轮,2026-04-20,00:00,比萨,热那亚,1:2,客胜,1199674,3.05,2.73,2.3,2.92,2.85,2.3,3.0,3.0,2.56,3.39,3.2,2.17,0.883,0.294,0.294,0.962,0.985,0.088,0.088,0.905,0.95,0.95,0.95,1.07,1.01,0.8,12.73,7.5,13.34,17.4,13.62,5.46
2026-04-20_尤文图斯_博洛尼亚,serie_a,意甲,第33轮,2026-04-20,02:45,尤文图斯,博洛尼亚,2:0,主胜,1199671,1.3,4.65,6.9,1.31,4.55,6.85,1.45,4.6,6.71,1.48,4.32,6.25,0.888,-1.074,-1.074,0.946,0.993,-1.221,-1.221,0.869,0.95,0.94,0.94,0.97,0.89,0.87,5.75,9.32,31.76,9.41,13.71,33.28
