match_id,league_code,league_name,round_name,match_date,match_time,home_team,away_team,actual_score,actual_result,page_id,胜平负_初始_主,胜平负_初始_平,胜平负_初始_客,胜平负_最终_主,胜平负_最终_平,胜平负_最终_客,欧赔_初始_主,欧赔_初始_平,欧赔_初始_客,欧赔_最终_主,欧赔_最终_平,欧赔_最终_客,亚值_初始_主水,亚值_初始_盘口,亚值_初始_盘口值,亚值_初始_客水,亚值_最终_主水,亚值_最终_盘口,亚值_最终_盘口值,亚值_最终_客水,凯利_初始_主,凯利_初始_平,凯利_初始_客,凯利_最终_主,凯利_最终_平,凯利_最终_客,离散率_初始_主,离散率_初始_平,离散率_初始_客,离散率_最终_主,离散率_最终_平,离散率_最终_客
2026-04-18_圣保利_科隆,bundesliga,德甲,第30轮,2026-04-18,02:30,圣保利,科隆,1:1,平局,1206143,2.82,3.0,2.27,2.46,2.98,2.58,2.91,3.24,2.49,2.34,3.2,3.07,0.954,-0.206,-0.206,0.902,0.974,0.074,0.074,0.889,0.95,0.95,0.95,0.76,0.94,1.17,18.13,7.53,16.78,23.83,7.71,53.29
2026-04-18_霍芬海姆_多特蒙德,bundesliga,德甲,第30轮,2026-04-18,21:30,霍芬海姆,多特蒙德,2:1,主胜,1206150,2.06,3.9,2.58,2.2,3.67,2.49,2.33,3.86,2.76,2.65,3.82,2.33,0.89,0.147,0.147,0.956,0.934,-0.235,-0.235,0.927,0.95,0.95,0.95,1.08,0.94,0.8,42.34,8.04,38.76,25.62,13.51,4.79
2026-04-18_勒沃库森_奥格斯堡,bundesliga,德甲,第30轮,2026-04-18,21:30,勒沃库森,奥格斯堡,1:2,客胜,1206138,1.26,5.05,7.25,1.34,4.6,6.05,1.4,5.21,6.71,1.44,4.67,6.21,0.963,-1.250,-1.25,0.878,0.922,-1.368,-1.368,0.822,0.94,0.95,0.95,0.97,0.85,0.88,6.78,20.29,43.51,6.59,11.39,19.9
2026-04-18_柏林联盟_沃尔夫斯堡,bundesliga,德甲,第30轮,2026-04-18,21:30,柏林联盟,沃尔夫斯堡,3:1,主胜,1205923,1.84,3.35,3.48,2.02,3.18,3.13,2.05,3.43,3.64,2.21,3.44,3.08,0.922,-0.241,-0.241,0.906,0.96,-0.397,-0.397,0.887,0.95,0.95,0.95,1.02,0.95,0.8,12.04,5.8,24.57,10.72,9.12,9.48
2026-04-18_不莱梅_汉堡,bundesliga,德甲,第30轮,2026-04-18,21:30,不莱梅,汉堡,3:1,主胜,1205944,1.72,3.4,3.95,1.78,3.5,3.55,1.88,3.65,4.01,2.0,3.6,3.43,0.898,-0.417,-0.417,0.835,0.778,-0.528,-0.528,0.667,0.94,0.95,0.96,1.0,0.94,0.83,23.16,11.88,52.45,9.77,10.11,10.29
2026-04-19_法兰克福_莱比锡红牛,bundesliga,德甲,第30轮,2026-04-19,00:30,法兰克福,莱比锡红牛,1:3,客胜,1206147,3.5,3.86,1.71,3.4,3.83,1.74,3.2,3.95,2.06,3.18,3.84,2.03,0.976,0.328,0.328,0.88,0.789,0.391,0.391,0.951,0.94,0.95,0.96,0.94,0.93,0.94,96.57,10.12,48.59,10.1,11.4,10.73
2026-04-19_弗赖堡_海登海姆,bundesliga,德甲,第30轮,2026-04-19,21:30,弗赖堡,海登海姆,2:1,主胜,1206171,1.51,3.95,4.67,1.55,3.85,4.45,1.64,4.16,4.85,1.61,4.08,4.92,0.895,-0.853,-0.853,0.945,0.949,-0.882,-0.882,0.914,0.95,0.95,0.95,0.93,0.93,0.97,4.73,11.75,14.83,3.11,11.87,29.88
2026-04-19_拜仁_斯图加特,bundesliga,德甲,第30轮,2026-04-19,23:30,拜仁,斯图加特,4:2,主胜,1206163,1.35,5.1,5.2,1.31,5.28,5.65,1.47,5.17,5.54,1.38,5.11,6.89,0.964,-1.544,-1.544,0.88,0.949,-1.265,-1.265,0.906,0.95,0.94,0.94,0.89,0.93,1.17,8.38,14.65,76.37,7.19,70.33,237.64
2026-04-20_门兴_美因茨,bundesliga,德甲,第30轮,2026-04-20,01:30,门兴,美因茨,1:1,平局,1206172,2.17,3.03,2.95,2.12,3.25,2.86,2.28,3.44,3.07,2.4,3.49,2.75,0.853,-0.059,-0.059,0.997,0.954,-0.235,-0.235,0.914,0.95,0.95,0.95,1.0,0.96,0.85,6.81,11.26,10.77,12.97,13.15,8.85
