match_id,league_code,league_name,round_name,match_date,match_time,home_team,away_team,actual_score,actual_result,page_id,胜平负_初始_主,胜平负_初始_平,胜平负_初始_客,胜平负_最终_主,胜平负_最终_平,胜平负_最终_客,欧赔_初始_主,欧赔_初始_平,欧赔_初始_客,欧赔_最终_主,欧赔_最终_平,欧赔_最终_客,亚值_初始_主水,亚值_初始_盘口,亚值_初始_盘口值,亚值_初始_客水,亚值_最终_主水,亚值_最终_盘口,亚值_最终_盘口值,亚值_最终_客水,凯利_初始_主,凯利_初始_平,凯利_初始_客,凯利_最终_主,凯利_最终_平,凯利_最终_客,离散率_初始_主,离散率_初始_平,离散率_初始_客,离散率_最终_主,离散率_最终_平,离散率_最终_客
2026-04-18_布伦特福德_富勒姆,premier_league,英超,第33轮,2026-04-18,19:30,布伦特福德,富勒姆,0:0,平局,1202678,1.86,3.5,3.28,1.9,3.45,3.2,2.02,3.69,3.45,2.07,3.59,3.28,0.85,-0.265,-0.265,1.011,0.931,-0.456,-0.456,0.924,0.95,0.95,0.95,0.97,0.92,0.9,9.04,12.35,12.57,6.2,13.91,13.68
2026-04-18_纽卡斯尔_伯恩茅斯,premier_league,英超,第33轮,2026-04-18,22:00,纽卡斯尔,伯恩茅斯,1:2,客胜,1202621,2.01,3.5,2.9,1.84,3.65,3.22,2.21,3.71,3.02,1.88,3.9,3.58,0.921,-0.515,-0.515,0.924,0.995,-0.309,-0.309,0.874,0.97,0.95,0.92,0.83,1.0,1.09,13.61,9.71,25.03,4.61,14.29,35.64
2026-04-18_利兹联_狼队,premier_league,英超,第33轮,2026-04-18,22:00,利兹联,狼队,3:0,主胜,1202514,1.39,4.0,6.25,1.5,3.7,5.2,1.52,4.17,6.3,1.66,3.81,5.01,0.891,-0.779,-0.779,0.952,0.786,-0.897,-0.897,0.96,0.93,0.96,0.99,1.01,0.88,0.79,9.07,17.62,60.36,17.39,13.82,21.89
2026-04-19_热刺_布莱顿,premier_league,英超,第33轮,2026-04-19,00:30,热刺,布莱顿,2:2,平局,1202687,2.9,3.7,2.15,2.9,3.6,2.2,2.98,3.74,2.23,2.6,3.59,2.5,0.907,0.029,0.029,0.946,0.871,0.221,0.221,0.865,0.95,0.95,0.95,0.83,0.91,1.06,25.38,11.0,19.81,33.01,8.51,45.15
2026-04-19_切尔西_曼联,premier_league,英超,第33轮,2026-04-19,03:00,切尔西,曼联,0:1,客胜,1147688,1.33,4.75,6.0,1.22,5.45,7.9,1.54,4.5,5.53,1.44,4.81,6.37,0.919,-1.309,-1.309,0.874,0.925,-1.118,-1.118,0.88,0.95,0.95,0.95,0.89,1.02,1.1,12.21,13.04,47.42,38.46,90.17,463.1
2026-04-19_埃弗顿_利物浦,premier_league,英超,第33轮,2026-04-19,21:00,埃弗顿,利物浦,1:2,客胜,1202505,3.02,3.2,2.06,3.15,3.26,1.98,3.18,3.37,2.26,3.4,3.56,2.04,0.89,0.397,0.397,0.965,0.926,0.250,0.25,0.928,0.95,0.95,0.95,1.02,1.0,0.85,12.57,10.09,12.51,38.22,16.83,12.31
2026-04-19_阿斯顿维拉_桑德兰,premier_league,英超,第33轮,2026-04-19,21:00,阿斯顿维拉,桑德兰,4:3,主胜,1202691,1.59,3.45,4.75,1.55,3.55,4.95,1.75,3.65,4.82,1.61,3.85,5.42,0.845,-0.794,-0.794,0.989,0.95,-0.721,-0.721,0.906,0.95,0.95,0.95,0.87,1.0,1.07,11.4,7.7,29.21,4.96,12.84,44.84
2026-04-19_诺丁汉森林_伯恩利,premier_league,英超,第33轮,2026-04-19,21:00,诺丁汉森林,伯恩利,4:1,主胜,1202526,1.36,4.2,6.4,1.38,4.1,6.2,1.47,4.43,6.76,1.55,4.05,5.8,0.958,-1.044,-1.044,0.879,1.034,-1.221,-1.221,0.823,0.95,0.95,0.95,1.0,0.87,0.81,5.26,19.24,39.29,17.03,19.12,28.59
2026-04-19_曼城_阿森纳,premier_league,英超,第33轮,2026-04-19,23:30,曼城,阿森纳,2:1,主胜,1202625,1.73,3.4,3.88,1.73,3.4,3.9,1.86,3.6,4.18,2.18,3.49,3.21,0.955,-0.353,-0.353,0.888,0.87,-0.515,-0.515,0.983,0.95,0.95,0.95,1.11,0.92,0.73,10.48,9.25,39.02,145.54,16.78,75.11
